region,estimate,se,df,t.stat,p.value,lower.ci,upper.ci,yr
Central Africa,0.609028018,0.06949581,164,8.763521364,2.28E-15,0.494717582,0.723338453,2003
Central Africa,0.645261967,0.0618057,164,10.44016925,6.94E-20,0.543600638,0.746923297,2004
Central Africa,0.451802788,0.077132163,164,5.857514806,2.50E-08,0.32493167,0.578673906,2005
Central Africa,0.509828535,0.102027635,164,4.996965132,1.48E-06,0.342008009,0.677649061,2006
Central Africa,0.73278224,0.081226066,164,9.021515875,4.76E-16,0.599177252,0.866387229,2007
Central Africa,0.747129939,0.078417652,164,9.527573464,2.12E-17,0.61814438,0.876115498,2008
Central Africa,0.632434861,0.100739031,164,6.277952603,2.95E-09,0.4667339,0.798135821,2009
Central Africa,0.719305403,0.087123128,164,8.256193524,4.74E-14,0.576000611,0.862610196,2010
Central Africa,0.866633078,0.069833602,164,12.40997243,2.32E-25,0.751767024,0.981499131,2011
Central Africa,0.816012127,0.08143792,164,10.02005114,9.81E-19,0.682058668,0.949965585,2012
Central Africa,0.733286464,0.094656339,164,7.746828908,9.28E-13,0.577590642,0.888982287,2013
Central Africa,0.77673599,0.074996179,164,10.35700756,1.17E-19,0.653378254,0.900093727,2014
Central Africa,0.725292807,0.07555415,164,9.599642246,1.35E-17,0.60101729,0.849568324,2015
Central Africa,0.752304251,0.070886171,164,10.61284933,2.32E-20,0.635706876,0.868901626,2016
Central Africa,0.690672558,0.075699174,164,9.123911368,2.55E-16,0.566158497,0.81518662,2017
Central Africa,0.751979824,0.091519542,164,8.216603869,5.99E-14,0.601443573,0.902516075,2018
Eastern Africa,0.251245515,0.072172156,166,3.481197298,0.00063796,0.132532882,0.369958147,2003
Eastern Africa,0.318210416,0.077363844,166,4.113167056,6.13E-05,0.190958216,0.445462616,2004
Eastern Africa,0.239593645,0.079289863,166,3.021743712,0.002911619,0.109173426,0.370013864,2005
Eastern Africa,0.228931453,0.077747171,166,2.944563132,0.003698333,0.101048737,0.356814169,2006
Eastern Africa,0.277187721,0.074790813,166,3.706173406,0.000286365,0.154167782,0.400207661,2007
Eastern Africa,0.482206426,0.066062982,166,7.29919252,1.14E-11,0.37354249,0.590870363,2008
Eastern Africa,0.262567699,0.060809427,166,4.317878199,2.70E-05,0.162545092,0.362590305,2009
Eastern Africa,0.499232188,0.064054251,166,7.793896204,6.76E-13,0.39387232,0.604592055,2010
Eastern Africa,0.627361106,0.060122996,166,10.43462808,6.43E-20,0.528467577,0.726254634,2011
Eastern Africa,0.593494596,0.057453829,166,10.32993988,1.25E-19,0.498991457,0.687997734,2012
Eastern Africa,0.550685151,0.060326656,166,9.128388475,2.30E-16,0.451456632,0.649913669,2013
Eastern Africa,0.493871959,0.067263356,166,7.342362778,8.94E-12,0.383233585,0.604510334,2014
Eastern Africa,0.454984231,0.066533972,166,6.838374737,1.46E-10,0.345545587,0.564422876,2015
Eastern Africa,0.333319758,0.06819979,166,4.887401502,2.39E-06,0.221141086,0.445498431,2016
Eastern Africa,0.233990886,0.061445329,166,3.808115133,0.000196798,0.132922314,0.335059457,2017
Eastern Africa,0.320065166,0.064322932,166,4.975910715,1.61E-06,0.214263358,0.425866973,2018
Southern Africa,0.283559639,0.102424858,116,2.768465052,0.006558481,0.11508574,0.452033537,2003
Southern Africa,0.295678806,0.085320491,116,3.465507542,0.000742739,0.155339086,0.436018525,2004
Southern Africa,0.281492593,0.070920437,116,3.969132209,0.000125424,0.164838854,0.398146332,2005
Southern Africa,0.344458142,0.071140114,116,4.841967836,4.00E-06,0.227443068,0.461473215,2006
Southern Africa,0.35042799,0.077944827,116,4.49584667,1.65E-05,0.222220159,0.478635822,2007
Southern Africa,0.365168667,0.077761821,116,4.695989146,7.34E-06,0.237261854,0.493075481,2008
Southern Africa,0.442681767,0.066785625,116,6.62839899,1.12E-09,0.33282919,0.552534343,2009
Southern Africa,0.383927026,0.068970116,116,5.566570681,1.70E-07,0.27048128,0.497372772,2010
Southern Africa,0.506267884,0.062488192,116,8.101816775,6.14E-13,0.403483955,0.609051814,2011
Southern Africa,0.40681979,0.044782239,116,9.084400372,3.31E-15,0.333159562,0.480480019,2012
Southern Africa,0.394559089,0.049732003,116,7.933706033,1.48E-12,0.312757224,0.476360954,2013
Southern Africa,0.401767512,0.042923666,116,9.360046621,7.50E-16,0.331164364,0.472370659,2014
Southern Africa,0.416599958,0.044598816,116,9.341054307,8.31E-16,0.343241434,0.489958481,2015
Southern Africa,0.402904492,0.042962841,116,9.377976087,6.81E-16,0.332236908,0.473572076,2016
Southern Africa,0.4760755,0.043301216,116,10.99450657,1.07E-19,0.404851338,0.547299662,2017
Southern Africa,0.471983414,0.04717705,116,10.00451301,2.30E-17,0.394384072,0.549582757,2018
West Africa,0.213393575,0.15463289,100,1.380001209,0.170663821,0,0.467742046,2003
West Africa,0.348986042,0.128695173,100,2.711725956,0.007880309,0.137301319,0.560670765,2004
West Africa,0.271060003,0.219527356,100,1.234743623,0.219819403,0,0.632150372,2005
West Africa,0,0.340612106,100,-0.009258691,0.992631185,0,0.557103435,2006
West Africa,0.857316424,0.17291768,100,4.957945442,2.92E-06,0.572892151,1,2007
West Africa,0.83319628,0.151486036,100,5.500152361,2.92E-07,0.584023924,1,2008
West Africa,0.79495235,0.112240346,100,7.082589993,2.01E-10,0.61033341,0.97957129,2009
West Africa,0.160994898,0.117063216,100,1.375281693,0.1721173,0,0.353546754,2010
West Africa,0.819634838,0.130410873,100,6.285019166,8.62E-09,0.60512804,1,2011
West Africa,0.892632662,0.101092029,100,8.829901524,3.61E-14,0.726351071,1,2012
West Africa,0.661157622,0.109387521,100,6.044177782,2.60E-08,0.481231162,0.841084082,2013
West Africa,0.895286323,0.091615577,100,9.772206302,3.13E-16,0.744592108,1,2014
West Africa,0.917755841,0.082329414,100,11.14736275,3.07E-19,0.782336006,1,2015
West Africa,0.917824704,0.095456082,100,9.615151661,6.91E-16,0.760813422,1,2016
West Africa,0.752892491,0.115581839,100,6.513934147,2.98E-09,0.562777283,0.943007699,2017
West Africa,0.464322247,0.105864921,100,4.385987765,2.86E-05,0.290189948,0.638454546,2018